image,n_cover_detections,yolo_available,hc_payload_bits,hc_capacity_bits,hc_capacity_bpp,hc_bits_used_frac,hc_guided_mse,hc_guided_psnr,hc_guided_ssim,hc_guided_obj_psnr,hc_guided_bg_psnr,hc_guided_secret_psnr,hc_guided_secret_nc,hc_guided_ber,hc_det_n_cover,hc_det_n_stego,hc_det_preservation_rate,hc_det_mean_iou,hc_det_mean_conf_delta,hc_det_map50,hc_baseline_mse,hc_baseline_psnr,hc_baseline_ssim,hc_baseline_obj_psnr,hc_baseline_bg_psnr,hc_baseline_secret_nc,hc_baseline_ber,hc_baseline_det_preservation_rate,hc_baseline_det_map50,hc_atk_jpeg_q90_ber,hc_atk_jpeg_q90_nc,hc_atk_jpeg_q75_ber,hc_atk_jpeg_q75_nc,hc_atk_jpeg_q50_ber,hc_atk_jpeg_q50_nc,hc_atk_gauss_noise5_ber,hc_atk_gauss_noise5_nc,hc_atk_blur_3x3_ber,hc_atk_blur_3x3_nc,hc_atk_median_3x3_ber,hc_atk_median_3x3_nc,hc_atk_saltpepper_1_ber,hc_atk_saltpepper_1_nc,hc_atk_rescale_50_ber,hc_atk_rescale_50_nc,rb_n_cover_detections,rb_yolo_available,rb_payload_bits,rb_capacity_bits,rb_capacity_bpp,rb_bits_used_frac,rb_guided_mse,rb_guided_psnr,rb_guided_ssim,rb_guided_obj_psnr,rb_guided_bg_psnr,rb_guided_secret_psnr,rb_guided_secret_nc,rb_guided_ber,rb_atk_jpeg_q90_ber,rb_atk_jpeg_q90_nc,rb_atk_jpeg_q75_ber,rb_atk_jpeg_q75_nc,rb_atk_jpeg_q50_ber,rb_atk_jpeg_q50_nc,rb_atk_gauss_noise5_ber,rb_atk_gauss_noise5_nc,rb_atk_blur_3x3_ber,rb_atk_blur_3x3_nc,rb_atk_median_3x3_ber,rb_atk_median_3x3_nc,rb_atk_saltpepper_1_ber,rb_atk_saltpepper_1_nc,rb_atk_rescale_50_ber,rb_atk_rescale_50_nc
000000000009.jpg,5,True,10472,12288,0.046875,0.8522135416666666,1.1821314493815105,47.40414589426793,0.9950239747065007,47.411097432539364,46.36989101812229,22.58567245198368,0.9679872105002431,0.001145912910618793,5,5,1.0,0.9984886768589136,0.012686610221862793,1.0,1.1837170918782551,47.39832442363945,0.9948546725860465,47.39440151132151,48.11402466384532,0.9377993407100514,0.0009549274255156608,1.0,1.0,0.2595492742551566,0.0,0.4137700534759358,0.0,0.48720397249809017,0.0,0.38865546218487396,0.0,0.2215431627196333,0.0,0.19356378915202443,0.0,0.20139419404125286,0.0,0.2902979373567609,0.0,5,True,888,1024,0.00390625,0.8671875,7.6977081298828125,39.26718920722016,0.9834492932838778,39.26414386888183,39.81217464157534,21.3004388165464,0.9575695531343444,0.0,0.0022522522522522522,0.9486571683455362,0.0045045045045045045,0.9481039539212442,0.01463963963963964,0.7642130986150677,0.0033783783783783786,0.9101772974969251,0.0011261261261261261,0.9508255939639703,0.041666666666666664,0.0,0.07657657657657657,0.0,0.018018018018018018,0.8142344722510106
000000000025.jpg,1,True,10472,12288,0.046875,0.8522135416666666,1.1854794820149739,47.391863191498985,0.9982637013222776,50.68196440232854,46.698894121125825,23.97056965750721,0.9767717942913144,0.0,1,1,1.0,0.9530179732166156,0.0059400200843811035,1.0,1.202161153157552,47.3311767087522,0.9983428128495756,47.44923319322163,47.29341137637495,0.9767402051422782,9.549274255156608e-05,1.0,1.0,0.24207410236822002,0.0,0.4202635599694423,0.0,0.4947478991596639,0.0,0.33288770053475936,0.0,0.3949579831932773,0.0,0.4292398777692895,0.0,0.23042398777692896,0.0,0.4255156608097785,0.0,1,True,888,1024,0.00390625,0.8671875,7.758415222167969,39.23307342001046,0.9929601980621827,41.996199197887506,38.613649344904736,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0022522522522522522,0.0,0.009009009009009009,0.0,0.0,0.9575695531343444,0.007882882882882882,0.8313529249782011,0.16328828828828829,0.0,0.05855855855855856,0.0,0.028153153153153154,0.40597025012261057
000000000030.jpg,1,True,10472,12288,0.046875,0.8522135416666666,1.1754989624023438,47.42858110752878,0.9940841098781982,82.39401814133231,46.86285692290842,23.47967386036172,0.9739726336744412,9.549274255156608e-05,1,1,1.0,0.998663333877249,0.0012938976287841797,1.0,1.1900647481282551,47.37509770072151,0.9940220924071687,47.120798803703195,47.41169949498441,0.9767717942913144,0.0,1.0,1.0,0.19747899159663865,0.0,0.3836898395721925,0.0,0.4760313216195569,0.0,0.3717532467532468,0.0,0.06885026737967914,0.0,0.058632543926661576,0.0,0.24761268143621085,0.0,0.11707410236822001,0.0,1,True,888,1024,0.00390625,0.8671875,7.916300455729167,39.14558091782647,0.9810870639066973,56.179370220958724,38.59020465581378,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.00563063063063063,0.7383340375117867,0.0,0.9575695531343444,0.0011261261261261261,0.9204187002088083,0.0022522522522522522,0.9116336184410238,0.060810810810810814,0.0,0.0022522522522522522,0.9203277687436539
000000000034.jpg,1,True,10472,12288,0.046875,0.8522135416666666,1.2037633260091145,47.32539252942846,0.9991160801913259,47.96867844436454,46.610099361136974,23.97056965750721,0.9767717942913144,0.0,1,1,1.0,0.9901652179015689,0.0013609528541564941,1.0,1.1862894694010417,47.38889685647174,0.9991603885535488,47.46393218063535,47.29321505739472,0.9767717942913144,0.0,1.0,1.0,0.2857142857142857,0.0,0.44289533995416347,0.0,0.4924560733384263,0.0,0.33011841100076394,0.0,0.4650496562261268,0.0,0.4771772345301757,0.0,0.23892284186401833,0.0,0.47087471352177235,0.0,1,True,888,1024,0.00390625,0.8671875,8.294403076171875,38.94295224281231,0.9963126200859529,39.591990772736175,38.22219458804479,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0011261261261261261,0.0,0.01463963963963964,0.0,0.0,0.9575695531343444,0.041666666666666664,0.5227282098934781,0.0777027027027027,0.0,0.041666666666666664,0.0,0.10585585585585586,0.40906090988592514
000000000036.jpg,2,True,10472,12288,0.046875,0.8522135416666666,1.1935882568359375,47.36225823541295,0.9956826847102466,47.56697410147608,46.63505435811419,23.97056965750721,0.9767717942913144,0.0,2,2,1.0,0.9966793387412822,0.006646305322647095,1.0,1.1613006591796875,47.481356883141636,0.9960331870986621,47.52069250686355,47.329039206381424,0.9767717942913144,0.0,1.0,1.0,0.21218487394957983,0.0,0.40364782276546984,0.0,0.48968678380443087,0.0,0.37089381207028266,0.0,0.18286860198624905,0.0,0.17016806722689076,0.0,0.2508594346829641,0.0,0.2393048128342246,0.0,2,True,888,1024,0.00390625,0.8671875,8.311105092366537,38.93421586950482,0.9855907229168087,39.1952724509737,38.03178805113076,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.0022522522522522522,0.9575531544553579,0.0,0.9575695531343444,0.0022522522522522522,0.9542110170201877,0.02702702702702703,0.6467745416078502,0.0472972972972973,0.0,0.012387387387387387,0.0
000000000042.jpg,1,True,10472,12288,0.046875,0.8522135416666666,1.1940511067708333,47.36057445369737,0.9963768007173721,49.51371703506828,46.65782970044479,19.78946324833756,0.9406254431294766,0.0004774637127578304,1,2,1.0,0.9620517694219287,0.04196763038635254,1.0,1.1758791605631511,47.427176671865325,0.9966403957870931,47.45881720040059,47.41303471557568,0.9464909609646431,0.0008594346829640947,1.0,1.0,0.21581359816653933,0.0,0.3852177234530176,0.0,0.48987776928953397,0.0,0.38607715813598165,0.0,0.1900305576776165,0.0,0.16195569136745608,0.0,0.22755920550038197,0.0,0.2756875477463713,0.0,1,True,888,1024,0.00390625,0.8671875,7.991479237874349,39.104531853855136,0.9878944780860105,40.82805218954903,38.5082064073415,21.3004388165464,0.9575695531343444,0.0,0.0022522522522522522,0.924201857764412,0.0011261261261261261,0.9537232737061726,0.012387387387387387,0.08211680521994859,0.013513513513513514,0.8006587334250798,0.010135135135135136,0.8395135920549579,0.016891891891891893,0.6047423532489885,0.060810810810810814,0.0,0.02364864864864865,0.0
000000000049.jpg,5,True,10472,12288,0.046875,0.8522135416666666,1.163129170735677,47.47452413101941,0.9950088569853127,52.54632413761545,46.802428245286805,12.060191845686287,0.6817823798058452,0.017666157372039724,5,5,1.0,0.9949219256260152,0.007429563999176025,1.0,1.1797943115234375,47.4127406301676,0.9955267242507356,47.320036491230866,47.435563798544614,-0.047212725485051406,0.01461038961038961,1.0,1.0,0.22650878533231475,0.0,0.4014514896867838,0.0,0.46361726508785334,0.0,0.380061115355233,0.0,0.1722689075630252,0.0,0.24169213139801374,0.0,0.22717723453017571,0.0,0.20034377387318564,0.0,5,True,888,1024,0.00390625,0.8671875,8.019179026285807,39.08950451761313,0.9840087265983523,43.16150298883342,38.49079744528034,21.22023055242737,0.9567669395113436,0.0022522522522522522,0.0022522522522522522,0.9567669395113436,0.0045045045045045045,0.8393562736963606,0.009009009009009009,0.8365130895772616,0.018018018018018018,0.641404312952212,0.02702702702702703,0.6854674542684287,0.057432432432432436,0.6658261663458418,0.07882882882882883,0.0,0.04954954954954955,0.6537049024192592
000000000061.jpg,2,True,10472,12288,0.046875,0.8522135416666666,1.1755231221516926,47.42849184893869,0.9995840237099701,inf,47.21247502646427,18.142082755778986,0.9122633809159689,0.001145912910618793,2,2,1.0,0.9982740709469708,0.002402782440185547,1.0,1.1663157145182292,47.46264233675091,0.9995802509719867,47.43798649043655,47.463903482316695,0.9225410964836491,0.0010504201680672268,1.0,1.0,0.2534377387318564,0.0,0.4319136745607334,0.0,0.48615355233002294,0.0,0.3978227654698243,0.0,0.489209320091673,0.0,0.4791825821237586,0.0,0.23462566844919786,0.0,0.5004774637127578,0.0,2,True,888,1024,0.00390625,0.8671875,7.626689910888672,39.30744271844824,0.9983542105638762,inf,39.09142589597383,21.149390204594972,0.9558785256487478,0.0011261261261261261,0.0045045045045045045,0.8948680168748917,0.00563063063063063,0.9531101207501631,0.02702702702702703,0.0,0.010135135135135136,0.896367472514093,0.016891891891891893,0.8610724432606529,0.18806306306306306,0.0,0.03153153153153153,0.0,0.0731981981981982,0.0
000000000064.jpg,4,True,10472,12288,0.046875,0.8522135416666666,1.1201616923014324,47.63799644442504,0.9967037635314197,55.69221435206956,46.95180479344656,12.434885607481599,0.7026252702136899,0.032467532467532464,4,4,1.0,0.9936538998545266,0.020944632589817047,1.0,1.1265093485514324,47.61345560717999,0.9968126668149022,47.28969994193625,47.68220801646518,0.0,0.030175706646294882,1.0,1.0,0.21781894576012223,0.0,0.3955309396485867,0.0,0.4742169595110772,0.0,0.37939266615737205,0.0,0.2342436974789916,0.0,0.2913483575248281,0.0,0.27062643239113826,0.0,0.28533231474407944,0.0,4,True,888,1024,0.00390625,0.8671875,7.910713195800781,39.14864721486782,0.9884995574723862,45.615433195276935,38.51474351378627,12.145779637400334,0.6591928868649494,0.006756756756756757,0.010135135135135136,0.6586413904433278,0.013513513513513514,0.6089102524916025,0.02027027027027027,0.49454587310572246,0.02252252252252252,0.5014921322314506,0.02252252252252252,0.6408557704551102,0.06644144144144144,0.0,0.10022522522522523,0.0,0.03265765765765766,0.5952796132725289
000000000071.jpg,4,True,10472,12288,0.046875,0.8522135416666666,1.1680577596028645,47.4561604201569,0.9960901216752878,51.42244034443444,46.76955927079266,23.97056965750721,0.9767717942913144,0.0,4,4,1.0,0.9773318288270159,0.01715189963579178,1.0,1.1807975769042969,47.40904907596746,0.9963444313536537,47.42321799355503,47.40500467426992,0.9767717942913144,0.0,1.0,1.0,0.2192513368983957,0.0,0.4070855614973262,0.0,0.47956455309396484,0.0,0.3680290297937357,0.0,0.20234912146676853,0.0,0.25181436210847974,0.0,0.26336898395721925,0.0,0.2505729564553094,0.0,4,True,888,1024,0.00390625,0.8671875,8.254875183105469,38.96369849919414,0.9869064038352019,42.4160266165502,38.33088716963767,21.3004388165464,0.9575695531343444,0.0,0.0,0.9575695531343444,0.0,0.9575695531343444,0.007882882882882882,0.905213137808158,0.0,0.9575695531343444,0.012387387387387387,0.9479882143065245,0.041666666666666664,0.403682368794729,0.039414414414414414,0.42526394952231916,0.030405405405405407,0.532670648198904
