k,payload_bytes,compression_factor,energy_ratio,store_full_floats,store_rank_k_floats,recon_psnr
2,269,0.06298828125,0.9515176508135094,4096,258,16.740800517286612
4,529,0.1259765625,0.9737293552664056,4096,516,19.418200666384838
6,789,0.18896484375,0.9819993242914304,4096,774,20.995584409080017
8,1049,0.251953125,0.987447936223504,4096,1032,22.522770673855877
10,1309,0.31494140625,0.9911341149461913,4096,1290,23.97056965750721
12,1569,0.3779296875,0.9936351629335839,4096,1548,25.307975403117258
14,1829,0.44091796875,0.9955030762565485,4096,1806,26.686908880917812
16,2089,0.50390625,0.9969280670821465,4096,2064,28.098405680680926
20,2609,0.6298828125,0.9985853087723207,4096,2580,30.74733034341041
24,3129,0.755859375,0.9993040862803534,4096,3096,32.670898806435986
32,4169,1.0078125,0.99994989319517,4096,4128,35.89699019781377
